TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T00001,2024-11-16,Laptop,Accessories,East,Online,7,13540,94780,Cash,C01403
T00002,2023-07-02,Monitor,Electronics,South,Online,4,7568,30272,Net Banking,C02637
T00003,2024-10-24,Monitor,Electronics,North,Offline,2,22512,45024,Cash,C00834
T00004,2024-07-03,Monitor,Electronics,West,Offline,4,57086,228344,Cash,C02311
T00005,2023-03-25,Monitor,Accessories,North,Offline,4,14717,58868,UPI,C02629
T00006,2023-03-08,Mouse,Electronics,East,Offline,9,5827,52443,Credit Card,C02898
T00007,2024-06-12,Tablet,Accessories,North,Online,8,39590,316720,Net Banking,C01645
T00008,2023-03-22,Mouse,Accessories,North,Online,4,32652,130608,Credit Card,C01632
T00009,2023-01-16,Laptop,Electronics,East,Offline,3,42643,127929,UPI,C00848
T00010,2024-01-11,Tablet,Electronics,East,Offline,10,70018,700180,Credit Card,C01954
T00011,2024-06-06,Laptop,Accessories,West,Offline,1,57650,57650,Net Banking,C01133
T00012,2023-05-10,Headphones,Accessories,South,Offline,2,74873,149746,Net Banking,C02180
T00013,2023-10-18,Monitor,Electronics,North,Offline,2,8071,16142,Cash,C01129
T00014,2023-07-10,Keyboard,Electronics,East,Offline,10,27041,270410,Net Banking,C01494
T00015,2023-06-23,Tablet,Accessories,West,Offline,9,10019,90171,Credit Card,C01586
T00016,2023-07-12,Keyboard,Accessories,East,Offline,5,11484,57420,Net Banking,C00457
T00017,2023-09-29,Mouse,Accessories,South,Online,9,61119,550071,Credit Card,C00637
T00018,2024-12-13,Tablet,Accessories,East,Offline,5,33961,169805,Net Banking,C02045
T00019,2024-08-29,Laptop,Accessories,East,Online,8,41057,328456,Credit Card,C00209
T00020,2023-03-25,Printer,Accessories,North,Offline,7,48867,342069,UPI,C02969
T00021,2024-10-23,Headphones,Electronics,West,Offline,1,41401,41401,Credit Card,C00411
T00022,2023-04-11,Laptop,Electronics,North,Offline,5,69320,346600,Credit Card,C01768
T00023,2023-03-22,Mobile,Accessories,West,Online,10,25611,256110,Cash,C01879
T00024,2023-07-18,Mouse,Accessories,West,Offline,9,13107,117963,Credit Card,C00236
T00025,2024-06-06,Keyboard,Accessories,South,Offline,3,35491,106473,Cash,C00001
T00026,2023-09-16,Mobile,Accessories,East,Offline,8,35928,287424,Credit Card,C00607
T00027,2024-11-04,Tablet,Electronics,North,Online,4,10619,42476,Credit Card,C00753
T00028,2024-04-30,Keyboard,Electronics,North,Online,4,69260,277040,UPI,C00743
T00029,2023-02-01,Headphones,Accessories,North,Online,10,20690,206900,Net Banking,C00751
T00030,2023-02-23,Keyboard,Electronics,East,Online,1,16971,16971,UPI,C01543
T00031,2023-12-07,Printer,Electronics,East,Online,8,9793,78344,Credit Card,C00790
T00032,2024-06-22,Tablet,Accessories,East,Online,7,31586,221102,UPI,C00280
T00033,2023-12-19,Mouse,Electronics,West,Offline,6,38172,229032,UPI,C01814
T00034,2023-06-04,Mouse,Electronics,South,Online,2,68529,137058,UPI,C00564
T00035,2024-12-01,Monitor,Accessories,West,Offline,3,77652,232956,Net Banking,C02230
T00036,2023-07-14,Printer,Accessories,East,Offline,6,33616,201696,UPI,C01259
T00037,2023-12-21,Monitor,Electronics,South,Offline,2,44692,89384,Net Banking,C00236
T00038,2023-12-05,Printer,Electronics,East,Offline,6,59619,357714,Cash,C01005
T00039,2024-05-30,Monitor,Accessories,East,Offline,4,51205,204820,Cash,C00686
T00040,2023-08-31,Monitor,Electronics,West,Online,5,11712,58560,Credit Card,C01685
T00041,2023-01-17,Monitor,Accessories,East,Online,1,25362,25362,UPI,C01830
T00042,2023-07-16,Keyboard,Accessories,South,Offline,2,58801,117602,Net Banking,C01970
T00043,2023-11-27,Mobile,Electronics,North,Online,8,38296,306368,UPI,C01073
T00044,2024-05-22,Tablet,Accessories,East,Offline,3,18983,56949,UPI,C00479
T00045,2023-03-15,Printer,Electronics,South,Offline,9,45315,407835,Credit Card,C02155
T00046,2024-06-22,Mouse,Electronics,South,Offline,6,26024,156144,Net Banking,C01134
T00047,2023-05-10,Keyboard,Electronics,West,Offline,5,68517,342585,Cash,C02838
T00048,2023-10-16,Tablet,Accessories,West,Online,1,38133,38133,Net Banking,C00420
T00049,2024-05-20,Monitor,Electronics,West,Offline,6,77707,466242,Net Banking,C01687
T00050,2023-06-19,Tablet,Electronics,East,Offline,3,38448,115344,Cash,C00427
T00051,2024-05-14,Mouse,Electronics,South,Online,3,6245,18735,Credit Card,C02769
T00052,2023-11-01,Headphones,Accessories,West,Online,9,60570,545130,Cash,C02354
T00053,2024-04-23,Mobile,Electronics,South,Online,8,77149,617192,Net Banking,C02308
T00054,2024-05-04,Keyboard,Electronics,South,Online,6,14981,89886,Net Banking,C00511
T00055,2023-09-03,Mobile,Accessories,North,Offline,3,79423,238269,Credit Card,C01842
T00056,2023-04-15,Headphones,Electronics,North,Offline,7,6983,48881,Credit Card,C01566
T00057,2024-05-01,Monitor,Electronics,North,Offline,3,20624,61872,Credit Card,C00657
T00058,2024-07-03,Monitor,Electronics,East,Online,5,74726,373630,UPI,C00952
